,,,,,,,,,,,,,
1,ECLER,Loudspeakers,CVIC6,VIC6,"6,5” 2-way 40 W@100V  steerable tweeter Ceiling Loudspeakers , No Back can -White (Priced in Pc sold in pair)",Pcs,China,8518210000,26,25,25,5.2,4.4
1,ECLER,Loudspeakers,CVIC6X,VIC6X,"6,5” 2-way  40 W@100V  steerable tweeter Ceiling Loudspeakers , with Back can -White (Priced in Pc sold in pair)",Pcs,China,8518210000,22.5,28.5,55.5,5.5,4.5
1,ECLER,Loudspeakers,CVIC8,VIC8,"8” 2-way 60 W @100V   steerable tweeter Ceiling Loudspeakers , No Back can -White (Priced in Pc sold in pair)",Pcs,China,8518210000,28,30.5,30.5,7,5.8
1,ECLER,Loudspeakers,CVIC8X,VIC8X,"8” 2-way 60 W@100V   steerable tweeter Ceiling Loudspeakers , with Back can -White (Priced in Pc sold in pair)",Pcs,China,8518210000,24,30,58.5,3.7,2.6
1,ECLER,Loudspeakers,CVICSB81,VICSB8,"8"" ceiling sub loudspeaker, 60W @100V   with built in cross over - No Back can",Pcs,China,8518210000,15,30,30,8.5,7.4
1,ECLER,Loudspeakers,CVICSB8X,VICSB8X,"8"" ceiling sub loudspeaker, 60W@100V   with built in cross over - with Back can",Pcs,China,8518210000,24,30,58.5,12.2,9.5
1,ECLER,Amplifiers,CVIDA16Q,VIDA-16Q,"4 channel Digital Amplifier with DSP, Dante and Player, HiZ/LoZ 1600/4 Ch ( Asymmetrical load sharing)",Pcs,Spain,8518400000,14,60,65,12.2,9.5
1,ECLER,Amplifiers,CVIDA24Q,VIDA-24Q,"4 channel Digital Amplifier with DSP, Dante and Player, HiZ/LoZ 2400/4 Ch ( Asymmetrical load sharing)",Pcs,Spain,8518400000,14,60,65,12.2,9.5
1,ECLER,Amplifiers,CVIDA48Q,VIDA-48Q,"4 channel Digital Amplifier with DSP, Dante and Player, HiZ/LoZ 4800/4 Ch ( Asymmetrical load sharing)",Pcs,Spain,8518400000,14,60,65,0.7,0.4
1,ECLER,Matrixes,CVIVOX8,VIVO-X8,EclerPLEX Audio DSP with 8x8 analog and 8x8 Dante - 2 x expansion port for  BIO-X8 ( 32x32 matrix),Pcs,Spain,8518400000,TBC,TBC,TBC,TBC,TBC
1,ECLER,Wireless Pro Audio,CWILD14BK,WiLD-14,"WiLD Series RX Rail 4"" Loudspeaker BK",Pcs,China,8517699000,TBC,TBC,TBC,TBC,TBC
