,Brand ,"REFERENCE/
PART NO",Model,DESCRIPTION,UOM,Country Of Origin,MRP-AED
1,McLELLAND,DIC 2523A,DIC 2523A,Mic Line XLR input dante US type Wall Plate,PCS,CHINA,1304
1,McLELLAND,DIC 2223A,DIC 2223A,2 Mic Line XLR input dante US type Wall Plate,PCS,CHINA,1333
1,McLELLAND,DIC 4323A,DIC 4323A,4Mic Line XLR input dante US type Wall Plate,PCS,CHINA,2038
1,McLELLAND,DIC 4E43A,DIC 4E43A,4 Mic Line XLR input dante Inter face,PCS,CHINA,1903
1,McLELLAND,BTD4x4,BTD4x4,dante blue tooth wall plate 4x4,PCS,CHINA,3091
1,McLELLAND,BTD2x2,BTD2x2,dante blue tooth wall plate 2x2,PCS,CHINA,2685
1,McLELLAND,AMD 22,AMD 22,2 In 2 out XLR Dante wall plate ,PCS,CHINA,2714
1,McLELLAND,DIC 2223AU,DIC 2223AU,2 Mic Line XLR input dante EU  type Wall Plate,PCS,CHINA,2657
1,McLELLAND,DIT 2E13A,DIT 2E13A,2 channel Audio Line Input  to Dante interface,PCS,CHINA,1169
1,McLELLAND,DIC 2E 23A,DIC 2E 23A,Dante Interface Mic/Line 2 Inputs x 2 Outputs,PCS,CHINA,1391
1,McLELLAND,DIC2523AU,DIC2523AU,Mic Line XLR input dante EU type Wall Plate,PCS,CHINA,1951
