,OSD,MODEL GROUP,"REFERENCE/
PART NO",Model,Product Description,UOM,Country of Origin,Master Box Qty, MRP QAR  , MRP AED 
1,OSD,TRIMLESS IN-CEILING SPEAKERS,ACE400,ACE400,"3"" Trimless Poly Woofer w. Whizzer Cone In-Ceiling Speaker, Pair",Pair,China,12,348,347
1,OSD,TRIMLESS IN-CEILING SPEAKERS,ACE600,ACE600,"6.5"" Trimless Poly Woofer w. 3/4"" PEI Tweeter In-Ceiling Speaker, Pair",Pair,China,4,522,519
1,OSD,TRIMLESS IN-CEILING SPEAKERS,ACE640,ACE640,"6.5"" Trimless Fiber Glass Woofer w. 1"" Ti Tweeter In-Ceiling Speaker, Pair",Pair,China,4,752,748
1,OSD,TRIMLESS IN-CEILING SPEAKERS,ACE650,ACE650,"6.5"" Trimless Kevlar Woofer w. 1"" Ti Tweeter In-Ceilin Speaker, Pair",Pair,China,4,876,871
1,OSD,TRIMLESS IN-CEILING SPEAKERS,ACE800,ACE800,"8"" Trimless Poly Woofer w. 1"" PEI Tweeter In-Ceiling Speaker, Pair",Pair,China,4,841,836
1,OSD,TRIMLESS IN-CEILING SPEAKERS,ACE840,ACE840,"8"" Trimless Fiber Glass Woofer w. 1"" Ti Tweeter In-Ceiling Speaker, Pair",Pair,China,4,929,924
1,OSD,TRIMLESS IN-CEILING SPEAKERS,ACE850,ACE850,"8"" Trimless Kevlar Woofer w. 1"" Ti Tweeter In-Ceilin Speaker, Pair",Pair,China,4,"1,239.00","1,232.00"
1,OSD,TRIMLESS IN-CEILING SPEAKERS,R103,R103,"Reference Series 10"" Trimless 3-Way Carbon Woofer, 2"" Aluminum Mid w. 1"" Ti Tweeter In-Ceiling Speaker, Single",Pcs,China,2,"2,213.00","2,201.00"
1,OSD,TRIMLESS IN-CEILING SPEAKERS,R43,R43,"Reference Series 4"" Trimless 2-Way Round In-Ceiling Speaker, Single",Pcs,China,2,442,440
1,OSD,TRIMLESS IN-CEILING SPEAKERS,R43SQ,R43SQ,"Reference Series 4"" Trimless 2-Way Square In-Ceiling Speaker, Single ",Pcs,China,2,442,440
1,OSD,TRIMLESS IN-CEILING SPEAKERS,R52,R52,"5.25"" Trimless Performance Series Graphite Woofer Stereo In-Ceiling Speaker, Pair *Close Out",Pair,China,4,664,660
1,OSD,TRIMLESS IN-CEILING SPEAKERS,R53,R53,"5.25"" Trimless Reference Series Carbon Fiber Woofer Stereo In-Ceiling Speaker, Pair *Close Out",Pair,China,4,774,770
1,OSD,TRIMLESS IN-CEILING SPEAKERS,R61EZ,R61EZ,"6.5"" Acoustic Series Polypropylene Woofer Stereo In-Ceiling Speaker w. EZ Install Design, Single *Close Out",Pcs,China,6,332,330
1,OSD,TRIMLESS IN-CEILING SPEAKERS,R62EZ,R62EZ,"6.5"" Performance Series Graphite Woofer Stereo In-Ceiling Speaker w. EZ Install Design, Single *Close Out",Pcs,China,6,553,550
1,OSD,TRIMLESS IN-CEILING SPEAKERS,R61,R61,"Acoustic Series 6.5"" Trimless Poly Woofer w. 1/2"" Silk Tweeter In-Ceiling Speaker, Pair",Pair,China,2,"1,106.00","1,100.00"
1,OSD,TRIMLESS IN-CEILING SPEAKERS,R62,R62,"6.5"" Trimless Performance Series Graphite Woofer Stereo In-Ceiling Speaker, Pair *Close Out",Pair,China,2,"1,097.00","1,092.00"
1,OSD,TRIMLESS IN-CEILING SPEAKERS,R63,R63,"Reference Series 6.5"" Trimless Carbon Woofer w. 1"" Ceramic Coated Aluminum Tweeter In-Ceiling Speaker, Pair",Pair,China,2,"1,770.00","1,760.00"
1,OSD,TRIMLESS IN-CEILING SPEAKERS,R81,R81,"Acoustic Series 8"" Trimless Poly Woofer w. 1/2"" Silk Tweeter In-Ceiling Speaker, Pair",Pair,China,2,"1,328.00","1,320.00"
1,OSD,TRIMLESS IN-CEILING SPEAKERS,R83,R83,"Reference Series 8"" Trimless Carbon Woofer w. 1"" Ceramic Coated Aluminum Tweeter In-Ceiling Speaker, Pair",Pair,China,2,"2,213.00","2,201.00"
1,OSD,STANDARD TRIM IN-CEILING SPEAKERS,ICE520,ICE520,"5.25"" Traditional Trim Poly Woofer w. 1/2"" PEI Tweeter In-Ceiling Speaker, Pair",Pair,China,4,357,355
1,OSD,STANDARD TRIM IN-CEILING SPEAKERS,ICE610,ICE610,"6.5"" Traditional Trim Poly Woofer w. 1/2"" PEI Tweeter In-Ceiling Speaker, Pair",Pair,China,4,637,634
1,OSD,STANDARD TRIM IN-CEILING SPEAKERS,ICE800,ICE800,"8"" Traditional Trim Poly Woofer w. 1/2"" PEI Tweeter In-Ceiling Speaker, Pair",Pair,China,4,708,704
1,OSD,STANDARD TRIM IN-CEILING SPEAKERS,ICE1080HD,ICE1080HD,"10"" Traditional Trim 3-Way Composite Paper Woofer, 2.5"" Composite Paper Mid w. 1"" Silk Tweeter In-Ceiling Speaker, Single",Pcs,China,1,"1,576.00","1,568.00"
1,OSD,STANDARD TRIM ANGLED IN-CEILING,ICE660,ICE660,"6.5” Traditional Trim Poly Woofer w. 1"" Silk Tweeter, 15 Degree Angled LCR In-Ceiling Speaker, Single",Pcs,China,6,620,617
1,OSD,TRIMLESS ANGLED IN-CEILING SPEAKERS,ACE670,ACE670,"6.5"" Trimless Kevlar w. 1"" Aluminum Tweeter, 15 Degree Angled LCR In-Ceiling Speaker, Single",Pcs,China,4,705,701
1,OSD,TRIMLESS ANGLED IN-CEILING SPEAKERS,ACE870,ACE870,"8"" Trimless Kevlar w. 1"" Aluminum Tweeter, 15 Degree Angled LCR In-Ceiling Speaker, Single",Pcs,China,4,"1,034.00","1,029.00"
1,OSD,TRIMLESS ANGLED IN-CEILING SPEAKERS,R63A,R63A,"Reference Series 6.5"" Trimless Carbon Woofer w. 1"" Ceramic Coated Aluminum Tweeter Angled In-Ceiling Speaker, Single",Pcs,China,4,"1,106.00","1,100.00"
1,OSD,TRIMLESS ANGLED IN-CEILING SPEAKERS,R83A,R83A,"Reference Series 8"" Trimless Carbon Woofer w. 1"" Ceramic Coated Aluminum Tweeter Angled In-Ceiling Speaker, Single",Pcs,China,4,"1,328.00","1,320.00"
1,OSD,TRIMLESS DVC IN-CEILING SPEAKERS,ACE640TT,ACE640TT,"6.5” Trimless Fiber Glass Woofer w. 1/2"" Ti Tweeter Dual Voice Coil In-Ceiling Speaker, Single",Pcs,China,8,531,528
1,OSD,TRIMLESS DVC IN-CEILING SPEAKERS,ACE840TT,ACE840TT,"8” Trimless Fiber Glass Woofer w. 1/2"" Ti Tweeter Dual Voice Coil In-Ceiling Speaker, Single",Pcs,China,8,664,660
1,OSD,TRIMLESS DVC IN-CEILING SPEAKERS,R62DT,R62DT,"Performance Series 6.5"" Trimless Poly Woofer w. 3/4"" Silk Tweeter Dual Voice Coil In-Ceiling Speaker, Single",Pcs,China,4,705,701
1,OSD,TRIMLESS DVC IN-CEILING SPEAKERS,R83DT,R83DT,"Reference Series 8"" Trimless Carbon Woofer w. 3/4"" Ceramic Coated Aluminum Dual Voice Coil In-Ceiling Speaker, Single",Pcs,China,4,"1,106.00","1,100.00"
1,OSD,WEATHER RESISTANT IN-CEILING SPEAKERS,ICE600WRS,ICE600WRS,"6.5"" Traditional Trim Poly/Santoprene Woofer w. 1"" Polycarbonate Tweeter Weather Resistant In-Ceiling Speaker, Pair",Pair,China,4,496,493
1,OSD,WEATHER RESISTANT IN-CEILING SPEAKERS,ICE640WRS,ICE640WRS,"6.5"" Traditional Trim Fiber Glass/Santoprene Woofer w. 1"" Ti Tweeter Weather Resistant In-Ceiling Speaker, Pair",Pair,China,4,620,616
1,OSD,WEATHER RESISTANT IN-CEILING SPEAKERS,ICE600TTWRS,ICE600TTWRS,"6.5"" Traditional Trim Poly/Santoprene Woofer w. 1"" Polycarbonate Tweeter DVC Weather Resistant In-Ceiling Speaker, Single",Pcs,China,8,434,431
1,OSD,WEATHER RESISTANT IN-CEILING SPEAKERS,ICE800WRS,ICE800WRS,"8"" Traditional Trim Poly/Santoprene Woofer w. 1"" Polycarbonate Tweeter Weather Resistant In-Ceiling Speaker, Pair",Pair,China,4,558,555
1,OSD,WEATHER RESISTANT IN-CEILING SPEAKERS,ICE840WRS,ICE840WRS,"8"" Traditional Trim Fiber Glass/Santoprene Woofer w. 1"" Ti Tweeter Weather Resistant In-Ceiling Speaker, Pair",Pair,China,4,841,836
