Brand ,"REFERENCE/
PART NO",Model,Description EN,UOM,MRP QAR,MRP AED
GARVAN,SVK15PB,SVK15PB,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm white glazing,Pcs,8538,8435
GARVAN,SVK15PY,SVK15PY,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm gray glazing,Pcs,8538,8435
GARVAN,SVK15PN,SVK15PN,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm black glazing,Pcs,8538,8435
GARVAN,SVK15PA,SVK15PA,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm yellow glazing,Pcs,8538,8435
GARVAN,SVK15PD,SVK15PD,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm red glazing,Pcs,8538,8435
GARVAN,SVK15PL,SVK15PL,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm blue glazing,Pcs,8538,8435
GARVAN,SVK15PV,SVK15PV,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm green glazing,Pcs,8538,8435
GARVAN,SVK15PT,SVK15PT,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm lilac glazing,Pcs,8538,8435
GARVAN,SVK15TN,SVK15TN,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm matt black glazing,Pcs,8538,8435
GARVAN,SVK15MG,SVK15MG,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm gold glazing,Pcs,12671,12518
GARVAN,SVK15MP,SVK15MP,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm platinum glazing,Pcs,11842,11699
GARVAN,SVK15MR,SVK15MR,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm copper glazing,Pcs,12440,12290
GARVAN,SVK15GV,SVK15GV,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm pearl green glazing,Pcs,11842,11699
GARVAN,SVK15GB,SVK15GB,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm white pearl glazing,Pcs,11842,11699
GARVAN,SVK15GD,SVK15GD,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm red pearl glazing,Pcs,11842,11699
GARVAN,SVK15GM,SVK15GM,Drop Faience loudspeaker 2-way coax WF130mm TW20mm pearl violet glazing,Pcs,11842,11699
GARVAN,SVK15RF,SVK15RF,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm riflesso effect glazing,Pcs,14506,14332
GARVAN,SVK15DB,SVK15DB,Goccia ceramic drop loudspeaker  2-way coax WF130mm TW20mm with Decoro glazing,Pcs,21286,21029
GARVAN,SVK15GP,SVK15GP,Goccia ceramic drop loudspeaker 2-way coax WF130mm TW20mm with Aldo Drudi Misano GP Sic58 Decoro glazing,Pcs,25328,25023
GARVAN,CV050T,CV050T,"Hanging cables for Goccia l. 2 x 0,5 mt",Pcs,131,130
GARVAN,CV150T,CV150T,"Hanging cables for Goccia l. 2 x 1,5 mt",Pcs,353,349
GARVAN,CV250T,CV250T,"Hanging cables for Goccia l. 2 x 2,5 mt",Pcs,566,560
GARVAN,CV350T,CV350T,"Hanging cables for Goccia l. 2 x 3,5 mt",Pcs,793,784
GARVAN,HWX031S,HWX031S,Satin stainless steel wall fixing system for drop speaker,Pcs,1491,1473
GARVAN,HWX031L,HWX031L,Polish stainless steel wall fixing system for drop speaker,Pcs,1573,1554
GARVAN,HWX020S,HWX020S,Tilted Fixing System for Drop loudspeaker in satin stainless steel,Pcs,2270,2243
GARVAN,HWX020L,HWX020L,Tilted Fixing System for Drop loudspeaker in polished stainless steel,Pcs,2411,2382
GARVAN,HWX016S,HWX016S,Satin stainless steel fixing system for drop speaker,Pcs,1441,1424
GARVAN,HWX016L,HWX016L,Polished stainless steel ceiling fixing system for drop speaker,Pcs,1523,1504
GARVAN,HPX209X,HPX209X,Stainless steel floorstand system for drop speaker,Pcs,4654,4598
GARVAN,KN116V,KN116V,Celeste - Cylindrical speaker d.260mm H420mm ceiling suspended – Green,Pcs,2932,2897
GARVAN,KN116Y,KN116Y,Celeste - Cylindrical speaker d.260mm H420mm ceiling suspended – grey finishing,Pcs,2932,2897
GARVAN,KN116A,KN116A,Celeste - Cylindrical speaker d.260mm H420mm ceiling suspended - charcoal grey finishing,Pcs,2932,2897
GARVAN,KN116B,KN116B,Celeste - Cylindrical speaker d.260mm H420mm ceiling suspended – White,Pcs,2932,2897
GARVAN,KN116Z,KN116Z,Celeste - Cylindrical speaker d.260mm H420mm ceiling suspended - Corten finishing,Pcs,3240,3201
GARVAN,KN116V-W,KN116V-W,Celeste - Cylindrical speaker d.260mm H420mm ceiling suspended – Green with White LED light,Pcs,3594,3550
GARVAN,KN116Y-W,KN116Y-W,Celeste - Cylindrical speaker d.260mm H420mm ceiling suspended – grey finishing with White LED light,Pcs,3594,3550
GARVAN,KN116A-W,KN116A-W,Celeste - Cylindrical speaker d.260mm H420mm ceiling suspended - charcoal grey finishing with White LED light,Pcs,3594,3550
GARVAN,KN116B-W,KN116B-W,Celeste - Cylindrical speaker d.260mm H420mm ceiling suspended – White with White LED light,Pcs,3594,3550
GARVAN,KN116Z-W,KN116Z-W,Celeste - Cylindrical speaker d.260mm H420mm ceiling suspended - Corten finishing with White LED light,Pcs,3902,3855
GARVAN,KN116V-R,KN116V-R,Celeste - Cylindrical speaker d.260mm H420mm ceiling suspended – Green with RGB LED light,Pcs,3739,3694
GARVAN,KN116Y-R,KN116Y-R,Celeste - Cylindrical speaker d.260mm H420mm ceiling suspended – grey finishing with RGB LED light,Pcs,3739,3694
GARVAN,KN116A-R,KN116A-R,Celeste - Cylindrical speaker d.260mm H420mm ceiling suspended - charcoal grey finishing with RGB LED light,Pcs,3739,3694
GARVAN,KN116B-R,KN116B-R,Celeste - Cylindrical speaker d.260mm H420mm ceiling suspended – White finishing with RGB LED light,Pcs,3739,3694
GARVAN,KN116Z-R,KN116Z-R,Celeste - Cylindrical speaker d.260mm H420mm ceiling suspended - Corten finishing with RGB LED light,Pcs,4056,4007
GARVAN,HW001F,HW001F,Ceiling bracket for KN116 finish white,Pcs,1047,1034
GARVAN,HW001H,HW001H,Ceiling bracket for KN116 finish black,Pcs,1047,1034
GARVAN,HC001F,HC001F,Plasterboard ceiling bracket finish white,Pcs,1047,1034
GARVAN,HC001H,HC001H,Plasterboard ceiling bracket finish black,Pcs,1047,1034
GARVAN,HM001F,HM001F,Concrete ceiling bracket finish white,Pcs,1224,1209
GARVAN,HM001H,HM001H,Concrete ceiling bracket finish black,Pcs,1224,1209
GARVAN,VN1507T,VN1507T,Multipolar transparent hanging cable lenght 150cm,Pcs,218,215
GARVAN,VN2507T,VN2507T,Multipolar transparent hanging cable lenght 250cm,Pcs,358,354
GARVAN,VN3507T,VN3507T,Multipolar transparent hanging cable lenght 350cm,Pcs,498,492
GARVAN,SN120V,SN120V,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt green,Pcs,3150,3112
GARVAN,SN120Y,SN120Y,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt grey,Pcs,3150,3112
GARVAN,SN120A,SN120A,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt charcoal grey,Pcs,3150,3112
GARVAN,SN120B,SN120B,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt white,Pcs,3150,3112
GARVAN,SN120Z,SN120Z,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt Corten effect,Pcs,3467,3425
GARVAN,SN120V-W,SN120V-W,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt green with white led,Pcs,3811,3765
GARVAN,SN120Y-W,SN120Y-W,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt grey with white led,Pcs,3811,3765
GARVAN,SN120A-W,SN120A-W,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt charcoal grey with white LED light,Pcs,3811,3765
GARVAN,SN120B-W,SN120B-W,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt white with white led,Pcs,3811,3765
GARVAN,SN120Z-W,SN120Z-W,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt Corten effect with white l,Pcs,4110,4061
GARVAN,SN120V-R,SN120V-R,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt green with RGB led,Pcs,3961,3913
GARVAN,SN120Y-R,SN120Y-R,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt grey with RGB led,Pcs,3961,3913
GARVAN,SN120A-R,SN120A-R,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt charcoal grey with RGB LED light,Pcs,3961,3913
GARVAN,SN120B-R,SN120B-R,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt white with RGB led,Pcs,3961,3913
GARVAN,SN120Z-R,SN120Z-R,Outdoor omnidirectional loudspeaker in PE diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt Corten effect with RGB led,Pcs,4260,4209
GARVAN,SN120EA,SN120EA,Outdoor omnidirectional loudspeaker in Concrete diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt,Pcs,6943,6859
GARVAN,SN120EA-W,SN120EA-W,Outdoor omnidirectional loudspeaker in Concrete diam.260xh625mm | 1x200mm full range DC 8? 120Wrms 92dB/1mt with White LED,Pcs,7604,7513
