,Brand,"PART NO
",Model,Description,UOM,Country of,HTS Code,Packed Heigth,,Packed Length,,Packed Width,,"Gross
Weight
(kg)",MRP,MRP
,,,,,UOM,Origin,,inch,cm,inch,cm,inch,cm,,QAR,AED
1,MediaMatrix - Peavey,03620870,NION® n6 (w/o network module),"Programmable Digital Audio Processor, Floating point DSP Engine with 6 DSP chips, Up to 128 channels total audio I/O, Optional Dante card",Pcs,USA,8543.70.9650,5,12.7,24,60.96,24,60.96,13.6,"51,395.00","51,325.00"
1,MediaMatrix - Peavey,03620860,NION® n3 (w/o network module),"Programmable Digital Audio Processor, Floating point DSP Engine with 3 DSP chips, Up to 128 channels total audio I/O, Optional Dante card",Pcs,USA,8543.70.9650,5,12.7,24,60.96,24,60.96,13.6,"41,770.00","41,713.00"
1,MediaMatrix - Peavey,03620850,NION® nX (w/o network module),"Programmable Digital Audio Processor, Floating point DSP Engine with 3 DSP chips, up to 32 channels analog or 64 channels digital plus optional 32 channels via CobraNet or Dante",Pcs,USA,8543.70.9650,5,12.7,24,60.96,24,60.96,13.6,"26,158.00","26,122.00"
1,MediaMatrix - Peavey,03511710,NIO™ 4x4, Input/Output Module - 4 Mic/Line input 4 Line out,Pcs,USA,8517.62.0050,,0,,0,,0,,"6,816.00","6,807.00"
1,MediaMatrix - Peavey,03311230,NIO™ 8i  ,  Input Module - 8 line input,Pcs,USA,8517.62.0050,,0,,0,,0,,"4,974.00","4,967.00"
1,MediaMatrix - Peavey,03616520,NIO™ 8o II  ,Output Module - 8 Line out,Pcs,USA,8517.62.0050,2.8,7.11,11,27.94,6.5,16.51,0.5,"3,961.00","3,955.00"
1,MediaMatrix - Peavey,03311220,NIO™ 8ml II, Input Module - 8 Mic / Line input,Pcs,USA,8517.62.0050,,0,,0,,0,,"6,217.00","6,209.00"
1,MediaMatrix - Peavey,03006880,**NIO™ AEC  ,Acoustic Echo Cancellation Input Module - 8 Mic /line input,Pcs,USA,8517.62.0050,1,2.54,9.6,24.38,4.8,12.19,0.5,"15,750.00","15,729.00"
1,MediaMatrix - Peavey,03458400,NIO™ AES ,AES  Input/Output Module,Pcs,USA,8517.62.0050,,0,,0,,0,,"7,184.00","7,174.00"
1,MediaMatrix - Peavey,03619890,sDAB™ 8x8,"Networkable Digital Audio Bridge, Dante® and/or AES67 , Inputs: 8 x Mic/Line , Outputs: 8 x Line",Pcs,USA,8517.62.0050,3.6,9.14,23.5,59.69,11,27.94,3.4,"12,388.00","12,371.00"
1,MediaMatrix - Peavey,03619900,sDAB™ 16i,"Networkable Digital Audio Bridge, Dante® and/or AES67 , Inputs: 16 x Mic/Line",Pcs,USA,8517.62.0050,3.6,9.14,23.5,59.69,11,27.94,3.4,"13,954.00","13,935.00"
1,MediaMatrix - Peavey,03619910,sDAB™ 16o,"Networkable Digital Audio Bridge, Dante® and/or AES67 , outputs: 16 x Line",Pcs,USA,8517.62.0050,3.6,9.14,23.5,59.69,11,27.94,3.4,"13,171.00","13,153.00"
1,MediaMatrix - Peavey,03619930,sDAB™ 16x16,"Networkable Digital Audio Bridge, Dante® and/or AES67 , Inputs: 16 x Mic/Line , Outputs: 16 x Line",Pcs,USA,8517.62.0050,3.6,9.14,23.5,59.69,11,27.94,3.4,0,0
1,MediaMatrix - Peavey,03619920,sDAB™ 32o,"Networkable Digital Audio Bridge, Dante® and/or AES67 , outputs: 32 x Line",Pcs,USA,8517.62.0050,3.6,9.14,23.5,59.69,11,27.94,3.4,0,0
1,MediaMatrix - Peavey,00510670,**CAB™ 4n - CM2,Configurable CobraNet Breakout Box,Pcs,USA,8517.62.0050,5,12.7,24,60.96,23.5,59.69,9.1,"11,237.00","11,222.00"
1,MediaMatrix - Peavey,00482590,**MM™ Mic 4,4 Channel Microphone Input Card for CAB Breakout Boxes,Pcs,USA,8517.62.0050,,0,,0,,0,,"2,653.00","2,649.00"
1,MediaMatrix - Peavey,00482580,**MM™ Line 4,4 Channel Line Input Card for CAB Breakout Boxes,Pcs,USA,8517.62.0050,,0,,0,,0,,"1,750.00","1,748.00"
1,MediaMatrix - Peavey,03482660,**MM™ Out 4,4 Channel Line Output Card for CAB Breakout Boxes,Pcs,USA,8517.62.0050,,0,,0,,0,,"1,409.00","1,407.00"
1,MediaMatrix - Peavey,03006780,**CAB™ 8n,"CobraNet Breakout Box ,8 I/O software configurable per channel",Pcs,USA,8517.62.0050,4.5,11.43,21,53.34,14,35.56,3.1,"10,684.00","10,670.00"
1,MediaMatrix - Peavey,03510000,**CAB™ 8n Rack Shelf,Rack shelf for  CAB 8n,Pcs,USA,8517.62.0050,,0,,0,,0,,543,543
1,MediaMatrix - Peavey,03513990,CobraNet® CM-1 Module,CobraNet® CM-1 Module,Pcs,USA,8543.70.9650,,0,,0,,0,,"7,046.00","7,036.00"
1,MediaMatrix - Peavey,03617230,MDM™ 32 ,Dante® Brooklyn II based 32×32 Interface card for all NION™ frames and the CAB™ 4n audio bridge,Pcs,USA,8517.62.0050,3,7.62,12,30.48,7,17.78,0.5,"7,046.00","7,036.00"
1,MediaMatrix - Peavey,03620260,sWALL™ 2x2,"Networkable In-Wall Interface Panel (sNET™ AES67 or Dante®), Input Connector- 2 x XLR-1/4"" ComboOutput Connectors -2 x XLR",Pcs,USA,8471.60.1050,3.3,8.38,5.9,14.99,5.9,14.99,0.7,"3,178.00","3,173.00"
1,MediaMatrix - Peavey,03609190,**nWall™ 1.1,"CobraNet I/O Wall Plate, Channels (Input) 1 x Mic & 1 x Line  Channels (Output) 1 Mic + 1 Line",Pcs,USA,8471.60.1050,1.9,4.83,4.6,11.68,4.5,11.43,0.9,"2,901.00","2,897.00"
1,MediaMatrix - Peavey,03609200,**nWall™ 0.2,"CobraNet Output Wall Plate, Channels (Output) 2 Line",Pcs,USA,8471.60.1050,1.9,4.83,4.6,11.68,4.5,11.43,0.9,"2,809.00","2,805.00"
