,Brand,PART NO,MODEL,,,Country of Origin,HTS Code,Packed Heigth,,Packed Length,,Packed Width,,"Gross
Weight
(kg)",MRP
,,,, DESCRIPTION,UOM,,,inch,cm,inch,cm,inch,cm,,AED
1,Crest Audio,3602352,CKd™ 1208,"Intelligent Networkable Hi-Power 8 channel Amplifier,1250 Watts / Ch @ 4 & 8 ?, 70.7V & 100V",PCS,China,8518.40.2000,9.5,24.13,27,68.58,23.4,59.436,22.1,27594
1,Crest Audio,3611432,CKd™ 1204,"Intelligent Networkable Hi-Power 4 channel Amplifier,1250 Watts / Ch @ 4 & 8 ?, 70.7V & 100V",PCS,China,8518.40.2000,,0,,0,,0,,
1,Crest Audio,3611442,CKd™ 608,"Intelligent Networkable Hi-Power 8 channel Amplifier625 Watts / Ch @ 4 & 8 ?, 70.7V & 100V",PCS,China,8518.40.2000,,0,,0,,0,,
1,Crest Audio,3611452,CKd™ 604,"Intelligent Networkable Hi-Power 4 channel Amplifier625 Watts / Ch @ 4 & 8 ?, 70.7V & 100V",PCS,China,8518.40.2000,,0,,0,,0,,
1,Crest Audio,3000690,NX CobraNet® 8,CobraNet Audio Interface Module - 8 channel,PCS,USA,8518.40.2000,1.8,4.572,5.8,14.732,5.3,13.462,0.2,6623
1,Crest Audio,3612020,NX Dante® 8 ,Dante®  Audio Interface Module - 8 channel,PCS,USA,8543.70.9650,3,7.62,11.8,29.972,7,17.78,0.5,6623
1,Crest Audio,3608422,CLh™ 6000C,"High Efficient Install Power Amplifier – Constant Voltage 100V , 2 x 1,500 W @ 8 ?, 2 x 3,745 W @ 100V",PCS,China,8518.40.2000,6,15.24,22.8,57.912,22,55.88,9.1,10788
1,Crest Audio,3608362,CLh™ 3000C,"High Efficient Install Power Amplifier – Constant Voltage 100V , 2 x 1,325 W @ 8 ?, 2 x 1,250W @ 100V",PCS,China,8518.40.2000,6,15.24,22.8,57.912,22,55.88,10,8866
1,Crest Audio,3001152,Ci™ 20x8,Intelligent Networkable Power Amplifier – Constant Voltage 70V & Low-Z 8 x 200W @ 4ohm & 70V,PCS,China,8518.40.2000,6.3,16.002,25,63.5,24.3,61.722,22.4,12628
1,Crest Audio,3000552,CM™ 2208,"8 channel Industrial Multi Channel Power Amplifierr – Constant Voltage 70V & Low-Z 210 W@ 8 ?,170 W  @ 70V",PCS,China,8518.40.2000,6.5,16.51,22.3,56.642,21.5,54.61,20.4,9306
1,Crest Audio,3000542,CM™ 2204,"4 channel Industrial Multi Channel Power Amplifierr – Constant Voltage 70V & Low-Z 210 W@ 8 ?,170 W  @ 70V",PCS,China,8518.40.2000,6.5,16.51,22.3,56.642,21.5,54.61,18.4,7070
1,Crest Audio,3602222,Pro-LITE™ 7.5,"Ultra-Efficient Lightweight High Power Amplifier, 2 x 2,450 W @ 4ohms",PCS,China,8518.40.2000,7,17.78,22,55.88,21,53.34,9,6899
1,Crest Audio,3602162,Pro-LITE™ 5.0,"Ultra-Efficient Lightweight High Power Amplifier, 2 x 1,725 W  @ 4ohms",PCS,China,8518.40.2000,7,17.78,22,55.88,21,53.34,9,5234
1,Crest Audio,3601272,Pro-LITE™ 3.0,"Ultra-Efficient Lightweight High Power Amplifier, 2 x 900 W  @ 4ohms",PCS,China,8518.40.2000,6.5,16.51,21.4,54.356,15,38.1,7.7,3403
1,Crest Audio,3000562,Pro™ 9200,"Professional Touring Power Amplifier,  , 2 x 2,200 W  @ 4ohms",PCS,China,8518.40.2000,6.5,16.51,22.3,56.642,21.8,55.372,11.6,12831
1,Crest Audio,3000592,Pro™ 8200,"Professional Touring Power Amplifier,  , 2 x 1,450 W  @ 4ohms",PCS,China,8518.40.2000,6.5,16.51,22.3,56.642,21.5,54.61,11,10228
1,Crest Audio,3000582,Pro™ 7200,"Professional Touring Power Amplifier,  , 2 x 1,000 W  @ 4ohms",PCS,China,8518.40.2000,6.5,16.51,22.3,56.642,21,53.34,11.2,8278
1,Crest Audio,3000652,Pro™ 5200,"Professional Touring Power Amplifier,  , 2 x 525  W  @ 4ohms",PCS,China,8518.40.2000,6.5,16.51,22.3,56.642,21.8,55.372,12.8,7285
1,Crest Audio,1000752,CC™ 4000,"Professional Touring Power Amplifier,  , 2 x 1,350 W  @ 4ohms",PCS,China,8518.40.2000,6.3,16.002,22.9,58.166,21.1,53.594,22.2,5515
1,Crest Audio,1000712,CC™ 2800,"Professional Touring Power Amplifier,  2 x 865 W W  @ 4ohms",PCS,China,8518.40.2000,6.3,16.002,22.9,58.166,21.1,53.594,20.4,4747
1,Crest Audio,1000812,CC™ 1800,"Professional Touring Power Amplifier,  , 2 x 700 W  @ 4ohms",PCS,China,8518.40.2000,6.3,16.002,22.9,58.166,21.1,53.594,17.7,3838
1,Crest Audio,3620122,CPX™ 1,Professional Touring & Install Power Amplifer  2 x 480 W  @ 4ohms,PCS,China,8518.40.2000,6.5,16.51,21.5,54.61,19.5,49.53,15.6,2649
