,BRAND,MODEL GROUP,"REFERENCE/
PART NO",Model,DESCRIPTION,UOM,Country of Origin,"Tariff 
code",Height (cm),Width (cm),Depth (cm),"Gross 
Weight (kg)",Net Weight (kg)
1,ECLER,Accessories ,C1UHRMKIT,1UHRMKIT,1U height half-rack mount kit,Pcs,China,8302500000,37,3,8,0.3,0.3
1,ECLER,Accessories ,C2UHRMKIT,2UHRMKIT,Kit montaje 2U Half Rack,Pcs,Spain,8302500000,33,4,11,0.6,0.6
1,ECLER,Digital Matrixes,CALMA24,ALMA24,2 input 4 output Digital Processor,Pcs,Spain,8518400000,6,56,22,2.5,1.75
1,ECLER,Digital Matrixes,CALMA26,ALMA26,2 input 6 output Digital Processor,Pcs,Spain,8518400000,6,56,22,2.6,1.75
1,ECLER,Loudspeakers,CAMBIT13BK,AMBIT-13,"2-way coaxial loudspeaker cabinet with 3,5” woofer  25W/8oh, 15 W 100V-Black (Priced in Pc sold in pairs) ",Pcs,China,8518220000,17,30,21,TBC,TBC
1,ECLER,Loudspeakers,CAMBIT13WH,AMBIT-13,"2-way coaxial loudspeaker cabinet with 3,5” woofer  25W/8oh, 15 W 100V-White (Priced in Pc sold in pairs) ",Pcs,China,8518220000,17,30,21,TBC,TBC
1,ECLER,Loudspeakers,CAMBIT16BK,AMBIT-16,"2-way coaxial loudspeaker cabinet with  6.5” woofer  50W/8oh, 30W  @ 100V- Black (Priced in Pc sold in pairs) ",Pcs,China,8518220000,27,43,26,TBC,TBC
1,ECLER,Loudspeakers,CAMBIT16WH,AMBIT-16,"2-way coaxial loudspeaker cabinet with  6.5” woofer  50W/8oh, 30W  @ 100V- White (Priced in Pc sold in pairs) ",Pcs,China,8518220000,27,43,26,TBC,TBC
1,ECLER,Loudspeakers,CAMBIT18BK,AMBIT-18,"2-way coaxial loudspeaker cabinet with  8” woofer  100W 8oh, 60W 100V 8"" -Black (Priced in Pc sold in pairs) ",Pcs,China,8518220000,32,51,31,TBC,TBC
1,ECLER,Loudspeakers,CAMBIT18WH,AMBIT-18,"2-way coaxial loudspeaker cabinet with  8” woofer  100W 8oh, 60W 100V 8"" -Black (Priced in Pc sold in pairs) ",Pcs,China,8518220000,32,51,31,TBC,TBC
1,ECLER,Accessories ,CARQ108UBBK,ARQ108UB,ARQIS108 U bracket kit BK,Pcs,Spain,8302500000,40,19,27,1.3,1.3
1,ECLER,Accessories ,CARQ108UBWH,ARQ108UB,ARQIS108 U bracket kit WH,Pcs,Spain,8302500000,40,19,27,1.3,1.3
1,ECLER,Accessories ,CARQ110UBBK,ARQ110UB,ARQIS110 U bracket kit BK,Pcs,Spain,8302500000,51,28,20,1.9,1.9
1,ECLER,Accessories ,CARQ110UBWH,ARQ110UB,ARQIS112 U bracket kit WH,Pcs,Spain,8302500000,51,28,20,1.9,1.9
1,ECLER,Accessories ,CARQ112UBBK,ARQ112UB,ARQIS112 U bracket kit BK,Pcs,Spain,8302500000,56,31,21,2.1,2.1
1,ECLER,Accessories ,CARQ112UBWH,ARQ112UB,ARQIS112 U bracket kit WH,Pcs,Spain,8302500000,56,31,21,2.1,2.1
