,BRAND,Model Group,"REFERENCE/
PART NO",Model,Description,UOM,Country of Origin,Custom tariff,PACKAGE HEIGHT,PACKAGE WIDTH,PACKAGE DEPTH,PACKAGE WEIGHT,Net wieght,Gross Weight
1,RCF,"10"" Woofer",11100005,MR10N301,MIDRANGE MR10N301 8 OHM,Pcs,Italy,85182900,170 mm / 6.69 inches,285 mm / 11.22 inches,285 mm / 11.22 inches,5 kg / 11.02 lbs,4.5,5
1,RCF,"8"" Woofer",11100006,MR8N301,MIDRANGE MR8N301 8 OHM,Pcs,Italy,85182900,150 mm / 5.91 inches,240 mm / 9.45 inches,240 mm / 9.45 inches,3.77 kg / 8.31 lbs,3.314,3.765
1,RCF,"18"" Woofer",11100010,LF18N401,WOOFER  LF18N401 8 OHM,Pcs,Italy,85182900,260 mm / 10.24 inches,520 mm / 20.47 inches,500 mm / 19.69 inches,11.4 kg / 25.13 lbs,9.5,11.4
1,RCF,"18"" Woofer",11100012,LF18G401,WOOFER LF18G401 8 OHM,Pcs,Italy,85182900,260 mm / 10.24 inches,500 mm / 19.69 inches,520 mm / 20.47 inches,15 kg / 33.07 lbs,13,15
1,RCF,"15"" Woofer",11100013,LF15N401,WOOFER LF15N401 8 OHM,Pcs,Italy,85182900,215 mm / 8.46 inches,422 mm / 16.61 inches,442 mm / 17.4 inches,10.18 kg / 22.44 lbs,8.768,10.18
1,RCF,"15"" Woofer",11100014,LF15G401,WOOFER LF15G401 8 OHM,Pcs,Italy,85182900,220 mm / 8.66 inches,440 mm / 17.32 inches,440 mm / 17.32 inches,14 kg / 30.86 lbs,13,14
1,RCF,"12"" Woofer",11100016,LF12G301,WOOFER LF12G301 8 OHM,Pcs,Italy,85182900,210 mm / 8.27 inches,360 mm / 14.17 inches,360 mm / 14.17 inches,8.05 kg / 17.75 lbs,7,8.05
1,RCF,"12"" Woofer",11100017,MB12G301,MID-BASS MB12G301 8 OHM,Pcs,Italy,85182900,210 mm / 8.27 inches,360 mm / 14.17 inches,360 mm / 14.17 inches,8 kg / 17.64 lbs,7,8
1,RCF,"18"" Woofer",11100022,LF18N405,WOOFER LF18N405 8 OHM,Pcs,Italy,85182900,255 mm / 10.04 inches,495 mm / 19.49 inches,525 mm / 20.67 inches,10 kg / 22.05 lbs,8.8,10
1,RCF,"15"" Woofer",11100025,MB15N351,MIDBASS MB15N351 8 OHM,Pcs,Italy,85182900,230 mm / 9.06 inches,440 mm / 17.32 inches,440 mm / 17.32 inches,6.52 kg / 14.37 lbs,5.155,6.524
1,RCF,"12"" Woofer",11100026,MB12N351,MIDBASS MB12N351 8 OHM,Pcs,Italy,85182900,210 mm / 8.27 inches,360 mm / 14.17 inches,360 mm / 14.17 inches,5.49 kg / 12.1 lbs,4.5,5.49
1,RCF,Coaxial,11100032,CX15N351,COAXIAL CX15N351-8  8 OHM,Pcs,Italy,85182900,240 mm / 9.45 inches,440 mm / 17.32 inches,440 mm / 17.32 inches,8.5 kg / 18.74 lbs,7,8.5
1,RCF,"21"" Woofer",11100043,LF21N451,WOOFER LF21N451 8 OHM,Pcs,Italy,85182900,284 mm / 11.18 inches,584 mm / 22.99 inches,604 mm / 23.78 inches,13.5 kg / 29.76 lbs,10.9,13.5
1,RCF,"18"" Woofer",11100044,L18P400,WOOFER L18P400 8 OHM,Pcs,Italy,85182900,270 mm / 10.63 inches,520 mm / 20.47 inches,500 mm / 19.69 inches,15.5 kg / 34.17 lbs,13.5,15.5
1,RCF,"15"" Woofer",11100045,L15P400,WOOFER L15P400 8 OHM,Pcs,Italy,85182900,195 mm / 7.68 inches,420 mm / 16.54 inches,425 mm / 16.73 inches,15.5 kg / 34.17 lbs,13.5,15.5
