,,CODE,Model,DESCRIPTION,UOM
1,RCF,83802000,83802000,C3A02-000 - ANTENNA BTH 2.4GHz,PCS
1,RCF,83802001,83802001,C3A02-001 - LINK CABLE MHF-SMA 2.4GHz,PCS
1,RCF,83882014,83882014,C3A82-014 -GRAY KEY,PCS
1,RCF,83882015,83882015,C3A82-015 -RED KEY,PCS
1,RCF,83882016,83882016,C3A82-016  -BLACK BUTTON,PCS
1,RCF,84111038,84111038,LOUSPEAKER DMU6100,PCS
1,RCF,84111065,84111065,"6"" DUAL CONE WOOFER FOR PL 60",PCS
1,RCF,84111156,84111156,WOOFER MB3G081 LJ 16 OHM,PCS
1,RCF,84111157,84111157,C.DRIVER CD 102-S  LJ 8 OHM,PCS
1,RCF,84115001,84115001,C4E15-001 -LOUDSPEAKER,PCS
1,RCF,93002051,93002051,PSU AC/DC FRA012-S24 BM3003,PCS
1,RCF,97402921,97402921,M.VOLUME -BACKB. CABLE (10PICO-650mm) ,PCS
1,RCF,97402922,97402922,VOL. INPUT -BACKB. CABLE (16PICO-400mm),PCS
1,RCF,97402925,97402925,POWER AMP.-BACKB. CABLE (6PICO-500mm) ,PCS
1,RCF,97402929,97402929,INPUTS VOLUME-BACKB. CABLE (10Pico-400mm),PCS
1,RCF,THD00174,THD00174,TRANSFORMER LINE 70/100V 40W 8OHM,PCS
