,Ref.,Name,,RRP(AED),COO,Comments
1,"CCORE
",CORE,"WiSpeak CORE is the transmitter device that communicates with all the receiver devices to create a WiSpeak wireless network, and takes the role of the Master Unit. Its main functions are to pair and send audio contents to all the receivers. Includes 3 audio inputs (Euroblock, RCA, Bluetooth), remote port for a WPa-VOL panel and a MUTE port for external dry contact triggering. Managed by WiSpeak grip app. Dimensions 225x120x40mm
/ 8.9”x4.7”x1.6”. Weight 0.8kg / 1.76 lb.",2372.68,SPAIN,
1,"CTUBE3WH
",TUBE,"WiSpeak TUBE is a self-powered 3"" lamp style loudspeaker with wireless audio reception and control capabilities under the control of the Master unit, featuring an AUX output (Euroblock) and a installation system which is compatible with ceiling light rails.
Dimensions (without accessories) Ø 96mm x 110mm /Ø 3,8"" x 4,3"" . Weight 0,8 kg / 1.76lb. White colour.",1882.59,CHINA,
1,"CTUBE3BK
",TUBE,"WiSpeak TUBE is a self-powered 3"" lamp style loudspeaker with wireless audio reception and control capabilities under the control of the Master unit, featuring an AUX output (Euroblock) and a installation system which is compatible with ceiling light rails.
Dimensions (without accessories) Ø 96mm x 110mm /Ø 3,8"" x 4,3"" . Weight 0,8 kg / 1.76lb.
Black colour. Delivered by units. Price per unit.",1929.66,CHINA,
1,"CCUBE5WH
",CUBE,"WiSpeak CUBE is a self-powered 5"" loudspeaker cabinet with wireless audio reception and control capabilities under the control of the Master unit, featuring an AUX output (Euroblock) and a installation system which is compatible with ceiling light rails.
Alternatively, wall mount or desktop installation is as well possible by means of the included accessories. Dimensions (without accessories) 173x180x185 mm / 6,81"" x 7,08"" x
7,28"". Weight 2,4kg / 5.29lb.  White colour. Delivered by units. Price per unit.",2431.77,CHINA,
1,"CCUBE5BK
",CUBE,"WiSpeak CUBE is a self-powered 5"" loudspeaker cabinet with wireless audio reception and control capabilities under the control of the Master unit, featuring an AUX output (Euroblock) and a installation system which is compatible with ceiling light rails.
Alternatively, wall mount or desktop installation is as well possible by means of the included accessories. Dimensions (without accessories) 173x180x185 mm / 6,81"" x 7,08"" x
7,28"". Weight 2,4kg / 5.29lb. Black colour. Delivered by units. Price per unit.",2431.77,CHINA,
1,"CGLOBE5PDWH
",GLOBE,"WiSpeak GLOBE is a self-powered 2-way full range sphere loudspeaker cabinet with wireless audio reception and control capabilities under the control of a WiSpeak CORE Master unit, featuring a pendant installation system. Includes a 5"" woofer and a 1"" silk dome tweeter.  Dimensions (without accessories) Ø287mm x 331mm(H) / Ø11.3 in. x 13 in.
(H). Weight 2.2 Kg / 4.85 lbs.  White colour. Delivered by units. Price per unit.",2299.82,CHINA,
1,"CGLOBE5PDBK
",GLOBE,"WiSpeak GLOBE is a self-powered 2-way full range sphere loudspeaker cabinet with wireless audio reception and control capabilities under the control of a WiSpeak CORE Master unit, featuring a pendant installation system. Includes a 5"" woofer and a 1"" silk dome tweeter.  Dimensions (without accessories) Ø287mm x 331mm(H) / Ø11.3 in. x 13 in.
(H). Weight 2.2 Kg / 4.85 lbs.  Black colour. Delivered by units. Price per unit.",2298.84,CHINA,
1,"CGLOBE5RMWH
",GLOBE,"WiSpeak GLOBE is a self-powered 2-way full range sphere loudspeaker cabinet with wireless audio reception and control capabilities under the control of a WiSpeak CORE Master unit, featuring an installation system which is compatible with ceiling light rails. Includes a 5"" woofer and a 1"" silk dome tweeter.  Dimensions (without accessories) Ø287mm x 331mm(H) / Ø11.3 in. x 13 in. (H). Weight 2.2 Kg / 4.85 lbs.  White colour.",2298.86,CHINA,
1,"CGLOBE5RMBK
",GLOBE,"WiSpeak GLOBE is a self-powered 2-way full range sphere loudspeaker cabinet with wireless audio reception and control capabilities under the control of a WiSpeak CORE Master unit, featuring an installation system which is compatible with ceiling light rails. Includes a 5"" woofer and a 1"" silk dome tweeter.  Dimensions (without accessories) Ø287mm x 331mm(H) / Ø11.3 in. x 13 in. (H). Weight 2.2 Kg / 4.85 lbs.  Black colour.
Delivered by units. Price per unit.",2298.86,CHINA,
1,"CWILDTX
",WiLD-TX,"WiLD-TX is the transmitter device that communicates with all the receiver devices to create a WiLD wireless network.2 audio inputs available:  Analogue stereo, unbalanced. 2 x RCA connectors and  Bluetooth®, class 1 (up to 25 meters range, maximum). Mute port and remote port (WPaVOL or compatible panel). Dimensions TBC. Weight TBC. Black colour.
Delivered by units. Price per unit.",1580.03,CHINA,
1,CWILD14WH,WiLD-14,"WiLD-14 is a self-powered 4"" lamp style loudspeaker with wireless audio reception under the control of the transmitter, featuring an installation system which is compatible with ceiling light rails. 4"" woofer  + 0,75"" tweeter, 40W amplifier power output. Dimensions TBC. Weight TBC. White colour. Delivered by units. Price per unit.",1916.21,CHINA,
1,CWILD14BK,WiLD-14,"WiLD-14 is a self-powered 4"" lamp style loudspeaker with wireless audio reception under the control of the transmitter, featuring an installation system which is compatible with ceiling light rails. 4"" woofer  + 0,75"" tweeter, 40W amplifier power output. Dimensions TBC. Weight TBC. Black colour. Delivered by units. Price per unit.",1916.21,CHINA,
1,"CWILDSB18BK
",WiLD-SB18,"WiLD-SB18 is a compact self-powered 8"" subwoofer with wireless audio reception under the control of the transmitter. 8"" woofer.  100W Amplifier power output. Dimensions TBC. Weight TBC. Black colour. Delivered by units. Price per unit.",3837.22,CHINA,
1,"CTUBESMAWH
",TUBE SMA,TUBESMA is a surface mount adapter to allow installing a TUBE or WiLD-14 unit in locations where there is no available lighting rail.,187.07,SPAIN,
1,"CTUBESMABK
",TUBE SMA,TUBESMA is a surface mount adapter to allow installing a TUBE or WiLD-14 unit in locations where there is no available lighting rail.,187.07,SPAIN,
1,"CEMHH1
",eMHH1,"Affordable handheld cardioid dynamic microphone, with a robust design that makes it ideal for voice applications. It comes with a microphone stand adapter, 6 metres XLR-XLR cable and transport bag. Dimensions 185 x 50 x 50 mm. Weight 246 g.",324.88,CHINA,
1,"CEMCN2
",eMCN2,"Condenser gooseneck cardioid microphone, with a perfect profile for message, speech and conferencing applications. Total length 55 cm. It includes anti-pop wind-screen cover.",551.33,CHINA,
1,CEMBASE,eMBASE,"Desktop connection base for the  eMCN2 microphone, as well as for other microphones with standard XLR connector. It includes ON / OFF switch that enables / disables the microphone signal. Dimensions 45 x 140 x 110 mm. Weight: 860g.",418.41,CHINA,
1,"CPLAYERONE
",PLAYER ONE,"Compact audio player with a stereo output that can play music contents from local storage media (USB/MicroSD card), Internet streams or digital sharing streams (DLNA and Airplay compatible). It includes Ethernet port, WiFi connection, USB and Micro-SD reader slots, front panel LCD display and local controls .Remote management by Ecler GALLERY, remote control by RePLAYER mobile app. Dimensions 241 x 44 x 152mm (install 2 PLAYER ONE in
1RU with 1UHRMKIT accessory). Weight 680 g.",2218.94,SPAIN,
1,"CPLAYERZERO
",PLAYER ZERO,"Compact audio player with a stereo output that can play music contents from local storage media (USB/MicroSD card), Internet streams or digital sharing streams (DLNA and Airplay compatible). It includes Ethernet port, WiFi connection, USB and Micro-SD reader slots
.Remote management by Ecler GALLERY, remote control by RePLAYER mobile app. Dimensions 126.5 x 44 x 132 mm / 4.98” x 1.73” x 5.19“. Weight 0.6 Kg / 1.32 lb",1776.93,SPAIN,
1,CDUONTPLAYER,DUONET PLAYER,"Double audio sound source that features full EclerNet compatibility (UCP control system, WPNETTOUCH remote management, TP-NET protocol, etc.). It includes 2 independent stereo media players, each one being able to play Internet audio streams and local (USB/SD) or networked audio media. The device have 2 Euroblock line level balanced outputs, remote control, priority (messages, warnings) and 4 GPI ports to trigger events.
Dimensions 482 x 44(1RU) x 250mm. Weight 4,2 kg",4762.56,SPAIN,
1,CESASBT,eSAS-BT,"Stereo audio source including FM tuner, USB slot, SD slot and Bluetooth connection. It performs unbalanced and balanced stereo audio outputs and headphones output (jack) with volume control in frontal panel. IR remote control, FM antenna, 2x RCA cables and rack-mount bracket included. Dimensions 482 x 44(1RU) x 132mm. Weight 1,4 kg",1217.71,CHINA,
1,"CESAM702C
",eSAM702,"Installation audio mixer in standard rack format, featuring 6 MIC/LINE ST inputs, 1 LINE ST input, 1 main mix balanced output and one AUX/REC additional output. It includes a 3 band tone control section, Talkover (priority) function assignable to each MIC/LINE input over the mix bus, 18V phantom available for all mic inputs, ST/MONO mix switch and MUTE port for external dry contact triggering. Dimensions 482.6 x 44(1RU) x 120 mm. Weight 1,8 kg",2208.84,SPAIN,Replaced with SAMI-702BT
1,"CESAM603C
",eSAM603,"6 inputs and 3 outputs installation audio mixer. Inputs: 1x MIC, 4x MIC/LINE ST, 1x LINE ST. Outputs: 1x ST (A/B) and 1x MONO (C). A/B output can operates in ST/MONO mode. Each input can be routed to output A, B and/or C. It includes a 3 band tone control section, talkover (priority) function assignable to each input over the mix bus, ST/MONO mix switch for A/B output and MUTE port for external dry contact triggering. Dimensions
482.6x44(1RU)x120 mm. Weight 2,1 kg",2299.26,SPAIN,"Replaced with
SAMI-603"
1,"CSAM612T
",SAM612T,"Installation audio mixer in standard rack format, featuring 6 MIC/LINE ST inputs + 1 ST MIX input and 1 stereo balanced output. Each input has a dedicated 3-band tone control and 18V phantom power for MIC inputs. Input 1 includes talkover (priority) function over the mix bus and additional front panel jack connector. Main output ST/MONO mode switch and MUTE port for external dry contact triggering. Dimensions 482.6x44(1RU)x120 mm.
Weight 2,0 kg",2548.99,SPAIN,"Replaced with
SAMI-612"
1,"CECOMPACT4BT
",eCOMPACT4BT,"Desktop/19"" rack installation mixer. INS: 4 mic with switchable HP-filter and Phantom power 48V; 6 line ST; Bluetooth® connex; aux (mini-jack). OUTS: main balanced (XLR) with ST/mono switch; SUB OUT mono (XLR) with switchable LP-filter; alternative ALT (RCA); headphones (mini-Jack). 3 Band tone Ctrl and ALT OUT (alternative output) send per channel on all channels; Talkover (CH4) with mic input (combo) and USB charging port. It
includes power supply and rack-mount kit.",3932.72,SPAIN,
