Sl no,"Part No.
230 volt",Brand,Model,Description,Unit,MRP QAR,MRP AED
1,13000641,RCF,HDL 50-A 4K,"Active three-way line array module, 2 x 12"" + 4 x 6"" + 2 x 3"" CD, 8000 Wpeak, RDNet",PCS,"43,696.00","43,163.00"
1,13000511,RCF,HDL 30-A,"Active 2-way line array module 2X10"" + 4"", 1100Wrms, 2200 Wpeak, RDNet",PCS,"21,848.00","21,581.00"
1,13000579,RCF,HDL 28-A,"Active 2-way line array module 2X8"" + 3"", 1100Wrms, 2200 Wpeak, RDNet",PCS,"17,543.00","17,329.00"
1,13000588,RCF,HDL 26-A,"Active 2-way line array module 2X6"" + 2"", 1000Wrms, 2000 Wpeak, RDNet",PCS,"12,915.00","12,758.00"
1,13000606,RCF,HDL 26-A W,"Active 2-way line array module2X6"" + 2"", 1000Wrms, 2000 Wpeak, RDNet, white",PCS,"12,915.00","12,758.00"
1,13000580,RCF,HDL 38-AS,"Active line array subwoofer for HDL30, 18"", 1600Wrms, 3200 Wpeak",PCS,"25,507.00","25,196.00"
1,13000583,RCF,HDL 36-AS,"Active line array subwoofer for HDL28, 15"", 1600Wrms, 3200 Wpeak",PCS,"21,740.00","21,475.00"
1,13000575,RCF,HDL 35-AS,"Active line array subwoofer for HDL26, 15"", 1100Wrms, 2200 Wpeak",PCS,"19,803.00","19,562.00"
1,13000664,RCF,HDL 35-AS W,"Active line array subwoofer for HDL26, 15"", 2200 W, white",PCS,"19,803.00","19,562.00"
1,13040007,RCF,HDL 20-A,"Active 2-way line array module 2x10"" + 2"", 700Wrms, 1400Wpeak",PCS,"14,960.00","14,777.00"
1,13040016,RCF,HDL 10-A,"Active 2-way line array module 2x8"" + 2"", 700Wrms, 1400Wpeak",PCS,"10,870.00","10,738.00"
1,13040022,RCF,HDL 10-A W,"Active 2-way line array module 2x8"" + 2"", 700Wrms, 1400Wpeak, white",PCS,"10,870.00","10,738.00"
1,13000496,RCF,HDL 6-A,"Active 2-way line array module 2x6,5"" + 1"", 700Wrms, 1400Wpeak",PCS,7641,7548
1,13000514,RCF,HDL 6-A W,"Active 2-way line array module 2x6,5"" + 1"", 700Wrms, 1400Wpeak, white",PCS,"7,641.00","7,548.00"
1,13000505,RCF,HDL12-AS,"Active line array subwoofer for HDL6, 12"", 700Wrms, 1400Wpeak",PCS,"9,902.00","9,781.00"
1,13000897,RCF,KX 515-A,"Two-way Active speaker system 2 x 5"" + 1.75"" v.c., 1000Wrms, 2000 Wpeak, RDNET",PCS,"8,287.00","8,186.00"
1,13000870,RCF,KX 515-A W,"Two-way Active speaker system 2 x 5"" + 1.75"" v.c., 1000Wrms, 2000 Wpeak, RDNET, white",PCS,"8,287.00","8,186.00"
1,13000882,RCF,KXL 4-A,"Active two-way line array module 2 x 10""+ 4"", 1.600 Wrms, 3.200 Wpeak, RDNET",PCS,24216,23920
1,13000884,RCF,KXW 4-A,"Active two-way wide directivity speaker 2 x 10""+ 4"", 1.600 Wrms, 3.200 Wpeak, RDNET",PCS,24216,23920
1,13000900,RCF,KX 08-A,"8"" + 1,75"", 1.000Wrms, 2.000 Wpeak, RDNET",PCS,9148,9037
1,13000902,RCF,KX 10-A,"10"" + 1,75"", 1.000Wrms, 2.000 Wpeak, RDNET",PCS,10655,10525
1,13000904,RCF,KX 32-A,"Two-way Active speaker system 12""+ 3"", 1.600 Wrms, 3.200 Wpeak, RDNET",PCS,16036,15841
1,13000906,RCF,KX 45-A,"Two-way Active speaker system 15""+ 4"", 1.600 Wrms, 3.200 Wpeak, RDNET",PCS,17651,17435
1,13000889,RCF,SUB 9029-AS,"2 x 19"" active subwoofer, 4.000 Wrms, 8.000 Wpeak, RDNET",PCS,36593,36146
1,13000890,RCF,SUB 9019-AS,"1 x 19"" active subwoofer, 2.000 Wrms, 4.000 Wpeak, RDNET",PCS,22601,22326
1,13000916,RCF,SUB 9016-AS,"1 x 16"" active subwoofer, 2.000 Wrms, 4.000 Wpeak, RDNET",PCS,16144,15947
1,13000494,RCF,SUB 9006-AS,"2 x 18"" active subwoofer",PCS,33364,32957
1,13000372,RCF,SUB 8006-AS,"Double 18"" Bass Reflex Active Subwoofer, 2500Wrms, 5000Wpeak",PCS,25507,25196
1,13000392,RCF,SUB 8004-AS,"Bass Reflex 18"" Active Subwoofer, 1250Wrms, 2500Wpeak",PCS,15606,15415
1,13000899,RCF,SUB 808-AS,"2 x 8"" Active Subwoofer, 1.000Wrms, 2.000 Wpeak, RDNET",PCS,10117,9993
1,13000872,RCF,SUB 808-AS W,"2 x 8"" Active Subwoofer, 1.000Wrms, 2.000 Wpeak, RDNET, white",PCS,10117,9993
1,17170154,RCF,RDNET CONTROL 8,8 output Master Unit,PCS,6242,6166
1,17170163,RCF,RDNET CONTROL 2,2 output Master Unit,PCS,1130,1116
1,13360334,RCF,FL-B HDL 50,Suspension bar to fly up to 20 pcs + 1x fly bar pick up,PCS,12162,12013
1,13360389,RCF,FL-B LINK HDL 50-30,Link bar HDL50-HDL30,PCS,6350,6272
1,13360380,RCF,FL-B HDL 30,Suspension bar to fly up to 20 pcs,PCS,6135,6060
1,13360393,RCF,STCK-KIT 2X HDL 30,Stacking kit 2 x HDL30,PCS,990,978
1,13360394,RCF,FL-B PK HDL 30,Flybar pickup for HDL30,PCS,915,904
1,13360411,RCF,FL-B HDL 28,Suspension bar to fly up to 20 pcs,PCS,6027,5954
1,13360336,RCF,KRT-WH 4X HDL 50,HDL50 trasportation kart for 4 modules,PCS,5058,4997
1,13360338,RCF,CVR 4X HDL 50,Cover 4 X to be associated to 1 kart,PCS,1722,1701
1,13360386,RCF,CVR 4X HDL 30,Cover for 4 x HDL30,PCS,1184,1169
1,13360382,RCF,KRT-WH 4X HDL 30,HDL30 trasportation kart for 4 modules,PCS,3175,3136
1,13360412,RCF,KRT-WH 4X HDL 28,HDL28 trasportation kart for 4 modules,PCS,3067,3030
1,13360422,RCF,CVR 4X HDL 28,Cover for 4 x HDL28,PCS,1076,1063
1,13360430,RCF,KRT-WH 3X HDL 38,HDL38 trasportation kart for 3 modules,PCS,3875,3827
1,13360431,RCF,KRT-WH 3X HDL 36,HDL36 trasportation kart for 3 modules,PCS,3552,3508
1,13360434,RCF,CVR 3X HDL 36,Cover for 3x HDL36,PCS,1184,1169
1,13360433,RCF,CVR 3X HDL 38,Cover for 3x HDL38,PCS,1345,1329
1,13360337,RCF,RP 1X HDL 50,Rain cover for 1 module HDL50-A,PCS,452,447
1,13360388,RCF,RP 1X HDL 30,"Rain cover for 1 module HDL 30-A, HDL 28-A, HDL 35-AS, HDL 36-AS, HDL 38-AS, KX 4-A ",PCS,172,170
1,12100004,RCF,CR 16-ND,"Including RD-net control 8, DX1616, patch bay, 4X LK25 OUT, 1RU PS",PCS,66943,66126
1,12399021,RCF,CBL LKS 25-2 FANOUT,"25 pin to 8X XLR, cable 1.0 M, fanout 1.0 M",PCS,1991,1967
1,12399022,RCF,CBL LK 25 MULTIPIN 20M,25 pin male female 20 M,PCS,2529,2498
1,12399023,RCF,CBL LK 25 MULTIPIN 10M,25 pin male female 10 M,PCS,2153,2126
1,12399016,RCF,CBL ETHERCON 0.7M,To connect RDNET in HDL50-A array,PCS,194,191
1,12399017,RCF,CBL ETHERCON 1.5M,Ethercon link cable 1.5 m.,PCS,215,213
1,12399035,RCF,CBL ETHERCON 3M,CAT 5E etherCON cable 3 m.,PCS,237,234
1,12399018,RCF,CBL ETHERCON 5M,CAT 5E etherCON cable 5 m.,PCS,258,255
1,12399019,RCF,CBL ETHERCON TO XLR F 0.2M,To connect XLR to RDNET RJ45,PCS,194,191
1,12399020,RCF,CBL ETHERCON TO XLR M 0.2M,To connect XLR to RDNET RJ45,PCS,194,191
1,12100006,RCF,PR 63,Touring case including power distribution unit,PCS,34655,34233
1,12399024,RCF,CBL LKS 19 ARRAY FANOUT,Array FAN OUT cable 0.5 - 1.3 - 2.1 - 2.9 - 3.7 - 4.5 M,PCS,1937,1914
1,12399025,RCF,CBL LKS 19 SUB FANOUT,SUB FAN OUT cable 2X 2.5 - 2X 5.0 - 2X 10.0 M,PCS,2529,2498
1,12399026,RCF,CBL LKS 19 BREAKOUT,Breakout BOX with LKS 19 INOUT/OUTPUT TO 6x powercon,PCS,3605,3561
1,13360146,RCF,CBL LKS 19 POWER 20M,LKS 19 power cable 20 M,PCS,3713,3668
1,12399027,RCF,CBL LKS 19 POWER 10M,LKS 19 power cable 10 M,PCS,2422,2392
1,12399028,RCF,CBL POWERCON LINK 10M,Power distribution cable,PCS,452,447
1,12399029,RCF,CBL POWERCON LINK 5M,Powercon link cable 5 m to link HDL 50-A 4K.,PCS,312,308
1,12399030,RCF,CBL POWERCON LINK 1.5M,Powercon link cable 1.5 m to link HDL 50-A 4K.,PCS,226,223
1,12399031,RCF,CBL POWERCON LINK 0.7M,To link 2x HDL50-A,PCS,194,191
1,13360218,RCF,FL-B HDL 20-18,Fly bar for HDL20 and HDL18 up to 16 HDL20 modules,PCS,5489,5422
1,13360229,RCF,FL-B LGT HDL 20,Light fly bar for HDL20 up to 4 HDL20 modules,PCS,2852,2817
1,13360221,RCF,FL-B PK HDL 20-18,Spare Pickup Point (including 2 Qick lock pins) for 2 motors pick up,PCS,721,712
1,13360223,RCF,KRT-WH 4X HDL 20,Kart with wheels for 4 HDL20,PCS,2852,2817
1,13360283,RCF,RP 2X HDL 20,Rain cover for 2 module HDL20/10,PCS,237,234
1,13360274,RCF,FL-B HDL 10,Fly bar for HDL10 up to 16 modules,PCS,5166,5103
1,13360276,RCF,FL-B LGT HDL 10,Light fly bar for HDL10 up to 4 modules,PCS,2691,2658
1,13360275,RCF,KRT-WH 4X HDL 10,Kart with wheels for 4 HDL10,PCS,2637,2605
1,13360314,RCF,FL-B HDL 10 W,Fly bar for HDL10 up to 16 modules - white colour,PCS,5166,5103
1,13360313,RCF,FL-B LGT HDL 10 W,Light fly bar for HDL10 up to 4 modules - white colour,PCS,2691,2658
1,13360360,RCF,FL-B HDL 6,Fly bar for HDL6 and HDL12 including accessories for staking and pole mount,PCS,3713,3668
1,13360373,RCF,FL-B HDL 6 W,Fly bar for HDL6 and HDL12 white colour,PCS,3713,3668
1,13360371,RCF,CL-BR HDL 6,Clamp bracket for HDL 6-A and HDL 26-A,PCS,495,489
1,13360372,RCF,FL-B PK HDL 6,"Spare Pickup Point for HDL6, HDL 26-A, HDL 35-AS, HL 35-S, HL 6, KX 4-A ",PCS,592,585
1,13360366,RCF,KRT-WH 6X HDL 6,Kart for 6 x HDL6,PCS,2529,2498
1,13360381,RCF,RP 1X HDL 6,"Rain cover for 1 module HDL 6-A, HDL 26-A, KX 515-A, KX 10-A, KX 08-A",PCS,269,266
1,13360375,RCF,FL-B LINK HDL 6-12 2X,Link bar for HDL6 and HDL12,PCS,1012,999
1,13360377,RCF,PM-KIT 3X HDL 6,HDL6 pole mount accessory to hold up to 3 modules ,PCS,1453,1435
1,13360232,RCF,AC PMX,Pole mount - up to 60Kg,PCS,1453,1435
1,13360238,RCF,WH PRO 4X,Kit 4 swivel castor 100mm wheels with roller bearing,PCS,549,542
1,13360688,RCF,CVR60688,Cover for KX 515-A,PCS,269,266
1,13360690,RCF,FLB60690,Accessory to link a KX 515 to a flying SUB 808,PCS,463,457
1,13360691,RCF,FLB60691,Suspension bar for KX 515,PCS,409,404
1,13360692,RCF,HBR60692,Horizontal bracket for KX 515,PCS,312,308
1,13360716,RCF,HBR60716,"Horizontal bracket for KX 515, white",PCS,312,308
1,13360693,RCF,VBR60693,Vertical bracket for KX 515,PCS,495,489
1,13360678,RCF,PMK60678,Pole mount accessory for KX 515 and NXL 14,PCS,129,128
1,13360679,RCF,PMK60679,"Pole mount accessory for KX 515 and NXL 14, white",PCS,129,128
1,13360694,RCF,CVR60694,Cover for KX 4-A,PCS,495,489
1,13360697,RCF,FLB60697,Vertical fly bar for KX 4-A,PCS,2529,2498
1,13360698,RCF,VBR60698,Vertical bracket for KX 4-A,PCS,969,957
1,13360713,RCF,CVR60713,Cover for KX 08-A,PCS,312,308
1,13360714,RCF,HBR60714,Horizontal bracket for KX 08-A,PCS,355,351
1,13360715,RCF,VBR60715,Vertical bracket for KX 08-A,PCS,463,457
1,13360710,RCF,CVR60710,Cover for KX 10-A,PCS,301,298
1,13360711,RCF,HBR60711,Horizontal bracket for KX 10-A,PCS,377,372
1,13360712,RCF,VBR60712,Vertical bracket for KX 10-A,PCS,484,478
1,13360704,RCF,VBR60704,Vertical bracket for KX 32-A,PCS,1345,1329
1,13360655,RCF,KRT-WH 007,SUB 9029 trasportation kart for 1 module,PCS,2744,2711
1,13360656,RCF,CVR 016,Cover for 1x SUB 9029,PCS,1238,1223
1,13360657,RCF,KRT-WH 008,SUB 9019 trasportation kart for 1 module,PCS,2099,2073
1,13360658,RCF,CVR 017,Cover for 1x SUB 9019,PCS,743,734
1,13360361,RCF,KRT-WH SUB 9006,Kart for 1 SUB 9006-AS,PCS,2691,2658
1,13360363,RCF,CVR SUB 9006,Cover for 1 SUB 9006-AS,PCS,1184,1169
1,13360362,RCF,RP 1X SUB 9006,Rain cover to protect SUB 9006-AS,PCS,990,978
1,13360242,RCF,CVR SUB 8006,Cover for SUB8006-AS,PCS,1130,1116
1,13360233,RCF,RP 1X SUB 8006,Rain cover protection for amplifier SUB8006-AS,PCS,151,149
1,13360231,RCF,STCK-KIT SUB 8006,Pair of accessories to lock FLY BAR HDL 20-18 to SUB 8006-AS or to lock FLY BAR HDL 10 to SUB 8004-AS. M20 fixing point.,PCS,721,712
1,13360286,RCF,CVR SUB 8004,Cover for SUB8004-AS,PCS,592,585
